id;date;week_id
ccccccc1-cccc-4ccc-8ccc-ccccccccccc1;2026-02-09;bbbbbbb1-bbbb-4bbb-8bbb-bbbbbbbbbbb1
ccccccc2-cccc-4ccc-8ccc-ccccccccccc2;2026-02-10;bbbbbbb1-bbbb-4bbb-8bbb-bbbbbbbbbbb1
ccccccc3-cccc-4ccc-8ccc-ccccccccccc3;2026-02-11;bbbbbbb1-bbbb-4bbb-8bbb-bbbbbbbbbbb1
ccccccc4-cccc-4ccc-8ccc-ccccccccccc4;2026-02-12;bbbbbbb1-bbbb-4bbb-8bbb-bbbbbbbbbbb1
ccccccc5-cccc-4ccc-8ccc-ccccccccccc5;2026-02-13;bbbbbbb1-bbbb-4bbb-8bbb-bbbbbbbbbbb1
ccccccc6-cccc-4ccc-8ccc-ccccccccccc6;2026-02-16;bbbbbbb2-bbbb-4bbb-8bbb-bbbbbbbbbbb2
ccccccc7-cccc-4ccc-8ccc-ccccccccccc7;2026-02-17;bbbbbbb2-bbbb-4bbb-8bbb-bbbbbbbbbbb2
ccccccc8-cccc-4ccc-8ccc-ccccccccccc8;2026-02-18;bbbbbbb2-bbbb-4bbb-8bbb-bbbbbbbbbbb2
ccccccc9-cccc-4ccc-8ccc-ccccccccccc9;2026-02-19;bbbbbbb2-bbbb-4bbb-8bbb-bbbbbbbbbbb2
ccccccc0-cccc-4ccc-8ccc-ccccccccccc0;2026-02-20;bbbbbbb2-bbbb-4bbb-8bbb-bbbbbbbbbbb2
